Date,HomeTeam,AwayTeam,B365H,B365D,B365A
01/04/26,Iraq,Bolivia,3.08,2.89,2.41
31/03/26,Bosnia and Herzegovina,Italy,6.86,4.19,1.47
31/03/26,Czech Republic,Denmark,3.69,3.34,2.03
31/03/26,DR Congo,Jamaica,1.6,3.26,6.18
31/03/26,Kosovo,Turkey,3.76,3.46,1.95
31/03/26,Sweden,Poland,2.08,3.33,3.51
27/03/26,New Caledonia,Jamaica,27.4,11.83,1.04
26/03/26,Bolivia,Suriname,2.41,2.96,3.0
26/03/26,Czech Republic,Republic of Ireland,1.96,3.35,3.92
26/03/26,Denmark,North Macedonia,1.19,6.63,14.92
26/03/26,Italy,Northern Ireland,1.24,5.73,13.39
26/03/26,Poland,Albania,1.6,3.64,6.23
26/03/26,Slovakia,Kosovo,2.37,3.01,3.24
26/03/26,Turkey,Romania,1.43,4.74,6.61
26/03/26,Ukraine,Sweden,3.27,3.24,2.23
26/03/26,Wales,Bosnia and Herzegovina,1.66,3.76,5.23
19/11/25,Costa Rica,Honduras,1.49,3.98,5.88
19/11/25,Guatemala,Suriname,3.32,3.3,2.05
19/11/25,Haiti,Nicaragua,1.18,6.21,12.53
19/11/25,Jamaica,Curaçao,1.9,3.17,4.02
19/11/25,Panama,El Salvador,1.11,7.73,18.89
19/11/25,Trinidad and Tobago,Bermuda,1.07,9.72,20.89
18/11/25,Austria,Bosnia and Herzegovina,1.32,5.32,8.42
18/11/25,Belarus,Greece,8.32,5.3,1.32
18/11/25,Bulgaria,Georgia,4.38,3.63,1.78
18/11/25,Iraq,United Arab Emirates,2.38,2.78,3.27
18/11/25,Kosovo,Switzerland,4.55,3.41,1.81
18/11/25,Romania,San Marino,1.01,21.53,59.82
18/11/25,Scotland,Denmark,3.51,3.35,2.07
18/11/25,Spain,Turkey,1.18,7.23,13.69
18/11/25,Sweden,Slovenia,1.68,3.62,5.24
18/11/25,Wales,North Macedonia,1.58,3.91,5.67
17/11/25,Czech Republic,Gibraltar,1.02,19.5,53.12
17/11/25,Germany,Slovakia,1.27,5.75,9.56
17/11/25,Malta,Poland,9.53,5.11,1.31
17/11/25,Montenegro,Croatia,6.4,4.4,1.47
17/11/25,Netherlands,Lithuania,1.05,13.89,34.56
17/11/25,Northern Ireland,Luxembourg,1.88,3.1,4.79
16/11/25,Albania,England,10.76,4.99,1.3
16/11/25,Azerbaijan,France,20.94,8.39,1.12
16/11/25,Hungary,Republic of Ireland,2.02,3.21,3.84
16/11/25,Israel,Moldova,1.38,4.75,7.72
16/11/25,Italy,Norway,2.14,3.53,3.19
16/11/25,Nigeria,DR Congo,2.03,2.77,4.35
16/11/25,Portugal,Armenia,1.03,16.11,47.28
16/11/25,Serbia,Latvia,1.14,7.69,19.22
16/11/25,Ukraine,Iceland,1.95,3.5,3.7
15/11/25,Bosnia and Herzegovina,Romania,2.53,3.23,2.76
15/11/25,Cyprus,Austria,9.56,5.7,1.28
15/11/25,Denmark,Belarus,1.05,12.47,30.89
15/11/25,Georgia,Spain,11.49,6.14,1.23
15/11/25,Greece,Scotland,2.2,3.18,3.35
15/11/25,Kazakhstan,Belgium,16.81,7.51,1.15
15/11/25,Liechtenstein,Wales,58.41,17.85,1.02
15/11/25,Slovenia,Kosovo,2.43,2.96,3.15
15/11/25,Switzerland,Sweden,1.51,4.05,6.31
15/11/25,Turkey,Bulgaria,1.11,9.33,19.31
14/11/25,Bermuda,Curaçao,10.5,5.83,1.21
14/11/25,Croatia,Faroe Islands,1.08,10.61,25.83
14/11/25,Finland,Malta,1.33,4.75,9.71
14/11/25,Gibraltar,Montenegro,13.94,5.49,1.24
14/11/25,Guatemala,Panama,3.41,2.96,2.17
14/11/25,Haiti,Costa Rica,3.94,3.46,1.82
14/11/25,Luxembourg,Germany,22.42,9.51,1.1
14/11/25,Nicaragua,Honduras,6.93,3.83,1.45
14/11/25,Poland,Netherlands,4.52,3.57,1.77
14/11/25,Slovakia,Northern Ireland,2.14,2.95,3.85
14/11/25,Trinidad and Tobago,Jamaica,3.21,3.27,2.1
13/11/25,Andorra,Albania,13.58,4.82,1.27
13/11/25,Armenia,Hungary,6.09,4.37,1.49
13/11/25,Azerbaijan,Iceland,5.51,3.85,1.6
13/11/25,Cameroon,DR Congo,2.08,2.85,3.96
13/11/25,England,Serbia,1.28,5.49,10.77
13/11/25,France,Ukraine,1.14,7.55,16.97
13/11/25,Republic of Ireland,Portugal,8.5,4.49,1.38
13/11/25,Moldova,Italy,21.75,9.4,1.1
13/11/25,Nigeria,Gabon,1.66,3.31,5.57
13/11/25,Norway,Estonia,1.02,19.75,52.19
13/11/25,Suriname,El Salvador,1.61,3.4,5.61
13/11/25,United Arab Emirates,Iraq,2.26,2.67,3.78
15/10/25,Curaçao,Trinidad and Tobago,1.52,3.75,6.01
15/10/25,El Salvador,Guatemala,2.92,2.89,2.47
15/10/25,Jamaica,Bermuda,1.04,12.09,32.44
15/10/25,Panama,Suriname,1.45,4.0,6.65
14/10/25,Algeria,Uganda,1.45,3.98,6.71
14/10/25,Andorra,Serbia,18.76,6.69,1.17
14/10/25,Costa Rica,Nicaragua,1.12,7.47,18.82
14/10/25,DR Congo,Sudan,1.3,4.83,9.47
14/10/25,Estonia,Moldova,2.14,3.14,3.55
14/10/25,Gabon,Burundi,1.29,4.74,10.56
14/10/25,Guinea,Botswana,1.67,3.38,5.21
14/10/25,Honduras,Haiti,2.09,3.0,3.58
14/10/25,Republic of Ireland,Armenia,1.54,4.18,5.72
14/10/25,Italy,Israel,1.17,7.38,13.79
14/10/25,Ivory Coast,Kenya,1.11,7.46,24.24
14/10/25,Latvia,England,42.65,13.76,1.04
14/10/25,Morocco,Congo,1.03,12.81,41.0
14/10/25,Nigeria,Benin,1.39,4.34,7.37
14/10/25,Portugal,Hungary,1.21,6.53,12.15
14/10/25,Qatar,United Arab Emirates,2.68,3.13,2.56
14/10/25,Saudi Arabia,Iraq,1.54,3.67,6.26
14/10/25,Senegal,Mauritania,1.12,7.15,20.88
14/10/25,Seychelles,Gambia,30.53,11.59,1.04
14/10/25,Somalia,Mozambique,8.76,4.43,1.33
14/10/25,South Africa,Rwanda,1.19,5.66,15.56
14/10/25,Spain,Bulgaria,1.02,22.07,60.47
14/10/25,Turkey,Georgia,1.57,4.33,5.15
13/10/25,Cameroon,Angola,1.27,4.82,11.44
13/10/25,Cape Verde,Eswatini,1.12,7.05,20.18
13/10/25,Equatorial Guinea,Liberia,3.15,2.87,2.38
13/10/25,Iceland,France,9.87,5.49,1.29
13/10/25,Lesotho,Zimbabwe,3.61,2.77,2.23
13/10/25,Mauritius,Libya,6.27,3.25,1.62
13/10/25,North Macedonia,Kazakhstan,1.34,4.57,10.12
13/10/25,Northern Ireland,Germany,8.38,4.9,1.36
13/10/25,São Tomé and Príncipe,Malawi,17.38,6.66,1.14
13/10/25,Slovakia,Luxembourg,1.38,4.57,8.34
13/10/25,Slovenia,Switzerland,4.84,3.41,1.78
13/10/25,South Sudan,Togo,5.08,3.19,1.73
13/10/25,Sweden,Kosovo,1.31,5.52,8.41
13/10/25,Tunisia,Namibia,1.37,4.12,8.9
13/10/25,Ukraine,Azerbaijan,1.18,6.51,15.91
13/10/25,Wales,Belgium,4.89,3.77,1.69
12/10/25,Burkina Faso,Ethiopia,1.15,6.51,16.71
12/10/25,Chad,Central African Republic,2.23,2.95,3.36
12/10/25,Denmark,Greece,1.68,3.61,5.31
