match_id,team,elo_pre,elo_post,tournament_type
6042,Kenya,1483.24,1483.1,African Cup of Nations qualification
6043,Uganda,1488.93,1478.74,African Cup of Nations qualification
6043,South Africa,1604.47,1619.44,African Cup of Nations qualification
6044,Peru,1651.56,1650.1,FIFA World Cup qualification
6044,Chile,1617.6,1619.06,FIFA World Cup qualification
6045,Botswana,1377.01,1378.96,African Cup of Nations qualification
6045,Mauritania,1422.5,1420.55,African Cup of Nations qualification
6039,Cape Verde,1494.47,1503.01,African Cup of Nations qualification
6039,Egypt,1719.03,1710.49,African Cup of Nations qualification
6071,Montenegro,1624.98,1616.84,UEFA Nations League
6071,Iceland,1690.39,1701.17,UEFA Nations League
6076,Turkey,1869.85,1867.82,UEFA Nations League
6076,Wales,1798.23,1800.26,UEFA Nations League
6074,Netherlands,2051.89,2065.08,UEFA Nations League
6074,Hungary,1816.72,1812.61,UEFA Nations League
6073,Albania,1708.39,1710.52,UEFA Nations League
6073,Czech Republic,1783.57,1781.44,UEFA Nations League
6072,Georgia,1714.73,1717.63,UEFA Nations League
6072,Ukraine,1818.29,1815.39,UEFA Nations League
6070,Ethiopia,1371.03,1358.67,African Cup of Nations qualification
6070,Tanzania,1432.96,1449.23,African Cup of Nations qualification
6075,Germany,2153.56,2168.07,UEFA Nations League
6075,Bosnia and Herzegovina,1628.5,1627.58,UEFA Nations League
6068,Andorra,1332.65,1325.77,UEFA Nations League
6068,Moldova,1444.91,1446.39,UEFA Nations League
6067,Bermuda,1617.25,1616.64,CONCACAF Nations League
6067,Antigua and Barbuda,1483.39,1477.06,CONCACAF Nations League
6066,Dominican Republic,1699.15,1715.94,CONCACAF Nations League
6066,Dominica,1473.52,1469.23,CONCACAF Nations League
6065,Guinea,1480.76,1493.06,African Cup of Nations qualification
6065,DR Congo,1607.3,1587.06,African Cup of Nations qualification
6064,Sweden,1835.6,1836.59,UEFA Nations League
6064,Slovakia,1752.04,1744.4,UEFA Nations League
6069,Azerbaijan,1519.46,1518.63,UEFA Nations League
6069,Estonia,1490.71,1491.54,UEFA Nations League
6090,North Macedonia,1723.61,1718.75,UEFA Nations League
6090,Faroe Islands,1419.81,1416.84,UEFA Nations League
6089,Israel,1647.12,1663.38,UEFA Nations League
6089,Belgium,2110.37,2091.67,UEFA Nations League
6088,Italy,2011.75,2004.46,UEFA Nations League
6088,France,2108.42,2118.69,UEFA Nations League
6086,Finland,1665.72,1659.64,UEFA Nations League
6086,Greece,1809.45,1819.04,UEFA Nations League
6085,Norway,1813.53,1828.93,UEFA Nations League
6085,Kazakhstan,1543.35,1539.86,UEFA Nations League
6084,Austria,1860.77,1857.91,UEFA Nations League
6084,Slovenia,1758.6,1761.46,UEFA Nations League
6087,England,2224.43,2234.26,UEFA Nations League
6087,Republic of Ireland,1697.59,1696.67,UEFA Nations League
6082,Latvia,1477.71,1469.57,UEFA Nations League
6082,Armenia,1543.14,1545.57,UEFA Nations League
6081,Saint Vincent and the Grenadines,1484.75,1496.29,CONCACAF Nations League
6081,Bonaire,1473.62,1463.94,CONCACAF Nations League
6080,El Salvador,1668.34,1666.97,CONCACAF Nations League
6080,Montserrat,1508.74,1503.04,CONCACAF Nations League
6079,Papua New Guinea,1338.66,1325.95,FIFA World Cup qualification
6079,Solomon Islands,1392.07,1396.1,FIFA World Cup qualification
6078,Algeria,1755.63,1771.34,African Cup of Nations qualification
6078,Liberia,1420.5,1416.7,African Cup of Nations qualification
6077,Togo,1419.28,1451.54,African Cup of Nations qualification
6077,Equatorial Guinea,1510.91,1492.04,African Cup of Nations qualification
6083,Fiji,1392.49,1392.38,FIFA World Cup qualification
6083,New Caledonia,1389.87,1390.1,FIFA World Cup qualification
6106,Croatia,1911.85,1917.28,UEFA Nations League
6106,Portugal,2123.58,2118.14,UEFA Nations League
6107,Poland,1822.8,1813.36,UEFA Nations League
6107,Scotland,1842.41,1845.83,UEFA Nations League
6108,Serbia,1811.04,1813.46,UEFA Nations League
6108,Denmark,1897.15,1894.72,UEFA Nations League
6109,Spain,2155.0,2151.2,UEFA Nations League
6109,Switzerland,1901.29,1897.52,UEFA Nations League
6110,Kosovo,1623.24,1621.11,UEFA Nations League
6110,Lithuania,1436.48,1431.39,UEFA Nations League
6114,Liechtenstein,1252.78,1241.49,UEFA Nations League
6114,San Marino,1207.64,1220.46,UEFA Nations League
6112,Luxembourg,1558.49,1560.72,UEFA Nations League
6112,Northern Ireland,1637.44,1635.2,UEFA Nations League
6113,Bulgaria,1554.12,1552.79,UEFA Nations League
6113,Belarus,1507.57,1508.9,UEFA Nations League
6116,Saint Lucia,1525.94,1521.39,CONCACAF Nations League
6116,Curaçao,1738.39,1753.63,CONCACAF Nations League
6117,Romania,1800.49,1807.06,UEFA Nations League
6117,Cyprus,1464.33,1461.8,UEFA Nations League
6105,Aruba,1485.38,1475.21,CONCACAF Nations League
6105,Sint Maarten,1479.33,1483.33,CONCACAF Nations League
6111,Puerto Rico,1652.09,1647.68,CONCACAF Nations League
6111,Haiti,1871.22,1886.42,CONCACAF Nations League
6104,Ghana,1514.09,1495.28,African Cup of Nations qualification
6104,Niger,1423.84,1432.62,African Cup of Nations qualification
6115,Grenada,1538.74,1528.41,CONCACAF Nations League
6115,Saint Martin,1527.01,1544.93,CONCACAF Nations League
6102,Morocco,1870.5,1892.09,African Cup of Nations qualification
6102,Lesotho,1339.05,1337.7,African Cup of Nations qualification
6091,United States,1952.64,1957.17,CONCACAF Nations League
6091,Jamaica,1738.33,1733.82,CONCACAF Nations League
6092,Tahiti,1423.13,1441.46,FIFA World Cup qualification
6092,Vanuatu,1429.52,1398.97,FIFA World Cup qualification
6093,New Zealand,1746.03,1774.63,FIFA World Cup qualification
6093,Samoa,1348.76,1345.99,FIFA World Cup qualification
6094,Tunisia,1647.26,1623.19,African Cup of Nations qualification
6094,Gambia,1404.16,1416.95,African Cup of Nations qualification
6095,Comoros,1457.96,1461.4,African Cup of Nations qualification
6095,Madagascar,1412.96,1399.89,African Cup of Nations qualification
6103,Cuba,1593.83,1616.29,CONCACAF Nations League
6103,Saint Kitts and Nevis,1600.26,1590.07,CONCACAF Nations League
6097,Central African Republic,1385.79,1375.14,African Cup of Nations qualification
6097,Gabon,1489.56,1492.03,African Cup of Nations qualification
6098,Nigeria,1639.09,1615.37,African Cup of Nations qualification
6098,Rwanda,1408.13,1420.67,African Cup of Nations qualification
6099,Sudan,1448.7,1451.6,African Cup of Nations qualification
6099,Angola,1516.88,1513.97,African Cup of Nations qualification
6100,Malawi,1365.27,1406.48,African Cup of Nations qualification
6100,Burkina Faso,1615.96,1591.69,African Cup of Nations qualification
6101,Panama,1832.46,1831.96,CONCACAF Nations League
6101,Costa Rica,1815.25,1815.75,CONCACAF Nations League
6096,Libya,1389.86,1392.79,African Cup of Nations qualification
6096,Benin,1458.48,1455.56,African Cup of Nations qualification
6148,Sweden,1836.59,1853.36,UEFA Nations League
6148,Azerbaijan,1518.63,1515.87,UEFA Nations League
6141,Bosnia and Herzegovina,1627.58,1636.08,UEFA Nations League
6141,Netherlands,2065.08,2056.57,UEFA Nations League
6142,Hungary,1812.61,1820.32,UEFA Nations League
6142,Germany,2168.07,2160.36,UEFA Nations League
6143,Albania,1710.52,1703.45,UEFA Nations League
6143,Ukraine,1815.39,1817.02,UEFA Nations League
6144,Czech Republic,1781.44,1783.1,UEFA Nations League
6144,Georgia,1717.63,1709.44,UEFA Nations League
6145,Wales,1800.26,1814.02,UEFA Nations League
6145,Iceland,1701.17,1693.95,UEFA Nations League
6146,Montenegro,1616.84,1637.83,UEFA Nations League
6146,Turkey,1867.82,1851.63,UEFA Nations League
6147,Slovakia,1744.4,1740.62,UEFA Nations League
6147,Estonia,1491.54,1487.75,UEFA Nations League
6149,Malta,1393.77,1391.83,UEFA Nations League
6149,Andorra,1325.77,1327.71,UEFA Nations League
6156,Mexico,1847.83,1865.24,CONCACAF Nations League
6156,Honduras,1733.19,1726.37,CONCACAF Nations League
6151,Dominican Republic,1715.94,1737.44,CONCACAF Nations League
6151,Bermuda,1616.64,1609.42,CONCACAF Nations League
6152,French Guiana,1671.15,1667.85,CONCACAF Nations League
