match_id,team,elo_pre,elo_post,tournament_type
5827,Andorra,1339.6,1332.65,UEFA Nations League
5829,Bolivia,1595.26,1611.95,FIFA World Cup qualification
5829,Colombia,1819.65,1796.12,FIFA World Cup qualification
5830,Ecuador,1728.71,1723.86,FIFA World Cup qualification
5830,Paraguay,1612.26,1617.11,FIFA World Cup qualification
5831,Chile,1630.22,1625.78,FIFA World Cup qualification
5831,Brazil,1934.44,1933.01,FIFA World Cup qualification
5832,Papua New Guinea,1351.67,1336.14,FIFA World Cup qualification
5832,New Caledonia,1339.5,1376.1,FIFA World Cup qualification
5833,Qatar,1737.78,1747.04,FIFA World Cup qualification
5833,Kyrgyzstan,1577.62,1569.09,FIFA World Cup qualification
5834,Saudi Arabia,1794.87,1790.19,FIFA World Cup qualification
5834,Japan,2088.36,2101.07,FIFA World Cup qualification
5828,Fiji,1387.22,1395.01,FIFA World Cup qualification
5828,Solomon Islands,1425.09,1408.46,FIFA World Cup qualification
5836,Jordan,1818.06,1805.99,FIFA World Cup qualification
5836,South Korea,1886.77,1902.86,FIFA World Cup qualification
5837,Oman,1663.69,1691.84,FIFA World Cup qualification
5837,Kuwait,1583.11,1571.53,FIFA World Cup qualification
