date,home_team,away_team,odds_h,odds_d,odds_a
2013-07-26,Club Brugge,Charleroi,1.33,5.0,9.0
2013-07-27,Bergen,Cercle Brugge,1.83,3.6,4.2
2013-07-27,Genk,Oostende,1.44,4.75,6.0
2013-07-27,Kortrijk,Oud-Heverlee Leuven,1.91,3.6,3.8
2013-07-27,Lierse,Waregem,3.0,3.4,2.3
2013-07-27,Waasland-Beveren,Gent,4.2,3.6,1.83
2013-07-28,Mechelen,Standard,3.1,3.3,2.3
2013-07-28,Anderlecht,Lokeren,1.36,5.0,7.5
2013-08-02,Ajax,Roda,1.14,8.0,16.0
2013-08-02,Cercle Brugge,Anderlecht,4.5,3.75,1.73
2013-08-02,Partick,Dundee United,2.88,3.3,2.4
2013-08-03,Burnley,Bolton,2.7,3.4,2.8
2013-08-03,Lokeren,Bergen,1.7,3.4,5.5
2013-08-03,Charleroi,Waasland-Beveren,2.05,3.3,3.6
2013-08-03,Birmingham,Watford,2.8,3.5,2.6
2013-08-03,Barnsley,Wigan,3.0,3.4,2.5
2013-08-03,Bournemouth,Charlton,2.25,3.5,3.4
2013-08-03,Inverness C,St Mirren,1.95,3.4,3.9
2013-08-03,Celtic,Ross County,1.25,5.5,12.0
2013-08-03,Aberdeen,Kilmarnock,1.85,3.5,4.0
2013-08-03,Den Haag,PSV Eindhoven,6.5,4.5,1.45
2013-08-03,Oud-Heverlee Leuven,Genk,4.75,3.5,1.75
2013-08-03,Heerenveen,AZ Alkmaar,2.63,3.5,2.5
2013-08-03,Twente,Waalwijk,1.44,4.33,7.0
2013-08-03,Reading,Ipswich,2.0,3.6,4.0
2013-08-03,QPR,Sheffield Weds,1.85,3.8,4.5
2013-08-03,Nott'm Forest,Huddersfield,1.75,3.75,5.25
2013-08-03,Millwall,Yeovil,2.0,3.6,4.0
2013-08-03,Middlesbrough,Leicester,2.75,3.5,2.7
2013-08-03,Leeds,Brighton,2.6,3.4,2.9
2013-08-03,Doncaster,Blackpool,2.5,3.4,3.0
2013-08-03,Nijmegen,Groningen,2.25,3.4,3.1
2013-08-03,Waregem,Kortrijk,1.91,3.5,4.0
2013-08-04,Cambuur,NAC Breda,2.2,3.5,3.1
2013-08-04,Zwolle,Feyenoord,4.0,3.75,1.83
2013-08-04,St Johnstone,Hearts,2.0,3.3,3.8
2013-08-04,Vitesse,Heracles,1.62,4.0,5.0
2013-08-04,Hibernian,Motherwell,3.0,3.25,2.38
2013-08-04,Oostende,Club Brugge,6.5,4.1,1.5
2013-08-04,Derby,Blackburn,2.1,3.6,3.75
2013-08-04,Gent,Mechelen,1.45,4.33,7.0
2013-08-04,Utrecht,Go Ahead Eagles,1.67,4.0,4.75
2013-08-04,Standard,Lierse,1.36,4.5,9.0
2013-08-09,Roda,Cambuur,1.73,3.8,4.5
2013-08-09,Montpellier,Paris SG,4.75,3.5,1.75
2013-08-09,Kortrijk,Lokeren,2.6,3.3,2.63
2013-08-09,Bayern Munich,M'gladbach,1.13,8.5,19.0
2013-08-10,Lierse,Cercle Brugge,2.3,3.4,3.0
2013-08-10,Evian Thonon Gaillard,Sochaux,2.15,3.1,3.6
2013-08-10,Bordeaux,Monaco,3.0,3.0,2.5
2013-08-10,Leverkusen,Freiburg,1.44,4.5,6.5
2013-08-10,Huddersfield,QPR,3.4,3.4,2.3
2013-08-10,Charlton,Middlesbrough,2.2,3.5,3.5
2013-08-10,Bolton,Reading,2.38,3.4,3.25
2013-08-10,Blackpool,Barnsley,1.91,3.6,4.5
2013-08-10,Blackburn,Nott'm Forest,2.75,3.4,2.75
2013-08-10,PSV Eindhoven,Nijmegen,1.14,8.0,15.0
2013-08-10,NAC Breda,Heerenveen,2.7,3.4,2.5
2013-08-10,Heracles,Zwolle,1.91,3.6,3.8
2013-08-10,Go Ahead Eagles,Den Haag,2.1,3.5,3.3
2013-08-10,Brighton,Derby,1.91,3.6,4.5
2013-08-10,Bergen,Charleroi,1.83,3.4,4.33
2013-08-10,Lille,Lorient,1.62,3.6,6.0
2013-08-10,Rennes,Reims,1.7,3.4,5.5
2013-08-10,Ross County,Partick,2.0,3.3,3.75
2013-08-10,Dundee United,Inverness C,2.3,3.25,2.88
2013-08-10,Oostende,Oud-Heverlee Leuven,2.1,3.4,3.4
2013-08-10,Waasland-Beveren,Mechelen,2.7,3.4,2.5
2013-08-10,Sheffield Weds,Burnley,2.25,3.4,3.5
2013-08-10,Ipswich,Millwall,2.1,3.5,3.8
2013-08-10,Watford,Bournemouth,1.73,4.0,5.0
2013-08-10,Yeovil,Birmingham,2.7,3.4,2.8
2013-08-10,Nantes,Bastia,2.25,3.1,3.4
2013-08-10,Augsburg,Dortmund,7.0,4.33,1.44
2013-08-10,Braunschweig,Werder Bremen,2.7,3.4,2.5
2013-08-10,Hannover,Wolfsburg,2.6,3.4,2.6
2013-08-10,Hertha,Ein Frankfurt,2.2,3.4,3.2
2013-08-10,Hoffenheim,Nurnberg,2.1,3.3,3.5
2013-08-10,Valenciennes,Toulouse,2.5,3.1,2.9
2013-08-10,Lyon,Nice,1.73,3.5,5.0
2013-08-11,Schalke 04,Hamburg,1.44,4.33,7.0
2013-08-11,Mainz,Stuttgart,2.4,3.4,2.8
2013-08-11,Leicester,Leeds,1.75,4.0,5.0
2013-08-11,AZ Alkmaar,Ajax,4.5,3.75,1.73
2013-08-11,Feyenoord,Twente,1.83,3.6,4.2
2013-08-11,Anderlecht,Gent,1.53,4.33,5.5
2013-08-11,Club Brugge,Waregem,1.75,3.75,4.5
2013-08-11,Genk,Standard,2.25,3.4,3.1
2013-08-11,Guingamp,Marseille,3.4,3.2,2.2
2013-08-11,Motherwell,Aberdeen,2.3,3.25,2.88
2013-08-11,Kilmarnock,St Johnstone,3.2,3.25,2.25
2013-08-11,Hearts,Hibernian,2.25,3.4,2.8
2013-08-11,Ajaccio,St Etienne,3.4,3.2,2.2
2013-08-11,Groningen,Utrecht,1.83,3.75,4.0
2013-08-11,Waalwijk,Vitesse,3.0,3.4,2.3
2013-08-16,Pacos Ferreira,Sp Braga,3.6,3.25,2.1
2013-08-16,Sochaux,Lyon,3.6,3.2,2.1
2013-08-16,Antalyaspor,Erciyesspor,2.0,3.4,3.75
2013-08-16,Doncaster,Blackburn,2.9,3.3,2.63
2013-08-16,Partick,Hearts,2.15,3.2,3.5
2013-08-17,Konyaspor,Fenerbahce,5.0,3.75,1.67
2013-08-17,St Etienne,Guingamp,1.44,4.0,8.0
2013-08-17,Toulouse,Bordeaux,2.38,3.0,3.25
