date,home_team,away_team,odds_h,odds_d,odds_a
2012-07-28,Germinal,Lokeren,2.38,3.25,3.0
2012-07-28,Mechelen,Charleroi,1.5,4.0,7.0
2012-07-28,Kortrijk,Anderlecht,5.25,3.75,1.65
2012-07-28,Club Brugge,Waasland-Beveren,1.29,5.25,10.0
2012-07-28,Bergen,Oud-Heverlee Leuven,1.8,3.6,4.33
2012-07-29,Gent,Lierse,1.3,5.0,11.0
2012-07-29,Genk,Cercle Brugge,1.67,3.75,5.0
2012-07-29,Standard,Waregem,1.65,3.8,5.0
2012-08-03,Lierse,Standard,5.0,3.5,1.73
2012-08-03,Erzgebirge Aue,St Pauli,3.3,3.4,2.15
2012-08-03,Hertha,Paderborn,1.57,4.1,5.5
2012-08-03,Ingolstadt,Cottbus,2.0,3.3,3.75
2012-08-04,Waasland-Beveren,Mechelen,3.3,3.4,2.15
2012-08-04,Lokeren,Bergen,1.85,3.6,4.0
2012-08-04,Charleroi,Club Brugge,5.5,4.0,1.57
2012-08-04,Cercle Brugge,Kortrijk,1.91,3.5,4.0
2012-08-04,Celtic,Aberdeen,1.25,5.5,12.0
2012-08-04,Munich 1860,Regensburg,1.44,4.33,7.0
2012-08-04,Bochum,Dresden,2.2,3.4,3.2
2012-08-04,St Mirren,Inverness C,2.38,3.25,3.0
2012-08-04,Ross County,Motherwell,2.7,3.2,2.63
2012-08-04,Kilmarnock,Dundee,2.0,3.4,3.75
2012-08-04,Hearts,St Johnstone,1.95,3.3,4.0
2012-08-04,Anderlecht,Germinal,1.25,5.5,12.0
2012-08-05,Sandhausen,Frankfurt FSV,2.2,3.3,3.3
2012-08-05,Braunschweig,FC Koln,2.5,3.3,2.75
2012-08-05,Dundee United,Hibernian,1.67,3.75,5.0
2012-08-05,Waregem,Gent,2.7,3.4,2.5
2012-08-05,Oud-Heverlee Leuven,Genk,3.8,3.6,1.91
2012-08-05,Duisburg,Aalen,1.67,3.75,5.0
2012-08-06,Kaiserslautern,Union Berlin,1.73,3.5,5.0
2012-08-10,Aalen,Kaiserslautern,3.2,3.4,2.2
2012-08-10,FC Koln,Sandhausen,1.57,3.8,6.0
2012-08-10,Cottbus,Erzgebirge Aue,1.83,3.5,4.33
2012-08-10,Willem II,NAC Breda,2.63,3.25,2.63
2012-08-10,Standard,Waasland-Beveren,1.3,5.25,9.5
2012-08-10,Montpellier,Toulouse,1.83,3.4,4.5
2012-08-11,Bergen,Lierse,1.62,3.8,5.5
2012-08-11,Germinal,Waregem,2.88,3.4,2.38
2012-08-11,Kortrijk,Charleroi,1.57,4.0,5.5
2012-08-11,Mechelen,Club Brugge,2.88,3.3,2.4
2012-08-11,Waalwijk,PSV Eindhoven,7.0,4.33,1.45
2012-08-11,Troyes,Valenciennes,2.4,3.1,3.1
2012-08-11,Heracles,VVV Venlo,1.4,4.5,8.0
2012-08-11,Aberdeen,Ross County,1.91,3.4,4.0
2012-08-11,Dundee,St Mirren,2.5,3.25,2.8
2012-08-11,Inverness C,Kilmarnock,2.25,3.25,3.2
2012-08-11,Motherwell,St Johnstone,2.1,3.3,3.5
2012-08-11,Paderborn,Bochum,2.05,3.4,3.5
2012-08-11,St Pauli,Ingolstadt,1.62,3.8,5.5
2012-08-11,Roda,Zwolle,1.57,4.0,5.5
2012-08-11,Nancy,Brest,2.1,3.2,3.6
2012-08-11,Nice,Ajaccio,1.91,3.25,4.33
2012-08-11,Paris SG,Lorient,1.33,4.75,10.0
2012-08-11,Evian Thonon Gaillard,Bordeaux,2.75,3.2,2.6
2012-08-11,Sochaux,Bastia,2.2,3.2,3.4
2012-08-11,St Etienne,Lille,3.0,3.0,2.5
2012-08-11,Rennes,Lyon,2.5,3.0,3.0
2012-08-12,Gent,Oud-Heverlee Leuven,1.33,5.0,8.5
2012-08-12,Genk,Lokeren,1.75,3.8,4.33
2012-08-12,Cercle Brugge,Anderlecht,3.6,3.6,1.95
2012-08-12,Ajax,AZ Alkmaar,1.62,4.0,5.0
2012-08-12,Heerenveen,Nijmegen,1.67,4.0,4.75
2012-08-12,Twente,Groningen,1.29,5.5,10.0
2012-08-12,Utrecht,Feyenoord,3.5,3.6,2.0
2012-08-12,Vitesse,Den Haag,1.44,4.5,7.0
2012-08-12,Frankfurt FSV,Hertha,3.8,3.6,1.91
2012-08-12,Regensburg,Duisburg,2.7,3.4,2.5
2012-08-12,Union Berlin,Braunschweig,2.2,3.4,3.2
2012-08-12,Reims,Marseille,3.5,3.1,2.2
2012-08-12,Hibernian,Hearts,3.25,3.3,2.2
2012-08-13,Dresden,Munich 1860,2.4,3.25,2.9
2012-08-17,Lille,Nancy,1.44,4.0,8.0
2012-08-17,Olhanense,Estoril,2.5,3.0,3.0
2012-08-17,Eskisehirspor,Akhisar Belediyespor,1.67,3.6,5.25
2012-08-17,Cardiff,Huddersfield,1.73,3.5,5.0
2012-08-18,Lorient,Montpellier,2.7,3.0,2.75
2012-08-18,Newcastle,Tottenham,2.5,3.4,2.75
2012-08-18,Fulham,Norwich,1.8,3.6,4.5
2012-08-18,Arsenal,Sunderland,1.4,4.5,8.5
2012-08-18,Feyenoord,Heerenveen,1.5,4.33,6.0
2012-08-18,NAC Breda,Twente,5.0,3.8,1.67
2012-08-18,PSV Eindhoven,Roda,1.2,6.5,13.0
2012-08-18,Reading,Stoke,2.38,3.25,3.1
2012-08-18,VVV Venlo,Utrecht,2.63,3.5,2.5
2012-08-18,Karabukspor,Trabzonspor,4.0,3.5,1.91
2012-08-18,Anderlecht,Bergen,1.29,5.5,9.5
2012-08-18,Club Brugge,Germinal,1.36,4.75,8.5
2012-08-18,Lierse,Genk,3.6,3.5,2.0
2012-08-18,Lokeren,Mechelen,1.95,3.5,3.75
2012-08-18,Oud-Heverlee Leuven,Cercle Brugge,2.6,3.4,2.6
2012-08-18,Zwolle,Vitesse,3.25,3.6,2.1
2012-08-18,Waasland-Beveren,Gent,4.5,3.75,1.75
2012-08-18,West Brom,Liverpool,4.2,3.5,1.91
2012-08-18,Barnsley,Middlesbrough,3.2,3.25,2.25
2012-08-18,St Mirren,Hibernian,2.2,3.2,3.4
2012-08-18,St Johnstone,Aberdeen,2.2,3.2,3.4
2012-08-18,Celta,Malaga,2.25,3.25,3.2
2012-08-18,Mallorca,Espanol,2.0,3.3,3.8
2012-08-18,Sevilla,Getafe,1.62,3.75,5.5
2012-08-18,Ross County,Celtic,7.5,4.2,1.44
2012-08-18,West Ham,Aston Villa,2.2,3.3,3.4
2012-08-18,Kilmarnock,Motherwell,2.7,3.25,2.6
2012-08-18,Bastia,Reims,1.7,3.5,5.25
2012-08-18,Brest,Evian Thonon Gaillard,2.38,3.0,3.2
2012-08-18,Elazigspor,Fenerbahce,5.5,3.75,1.62
2012-08-18,Lyon,Troyes,1.44,4.2,7.5
2012-08-18,Toulouse,St Etienne,2.15,3.0,3.75
2012-08-18,Valenciennes,Nice,1.91,3.25,4.33
2012-08-18,Hearts,Inverness C,1.91,3.3,4.2
2012-08-18,Waregem,Kortrijk,2.0,3.4,3.75
