date,home_team,away_team,odds_h,odds_d,odds_a
2016-07-29,Mechelen,Club Brugge,4.75,3.8,1.7
2016-07-30,Charleroi,Waasland-Beveren,1.6,3.8,5.75
2016-07-30,Mouscron,Anderlecht,4.0,3.5,1.91
2016-07-30,St Truiden,Lokeren,2.5,3.4,2.7
2016-07-30,Waregem,Eupen,2.0,3.5,3.6
2016-07-31,Westerlo,Standard,4.75,3.5,1.75
2016-07-31,Genk,Oostende,1.7,3.75,4.75
2016-07-31,Kortrijk,Gent,3.5,3.2,2.15
2016-08-05,Nijmegen,Zwolle,2.75,3.3,2.5
2016-08-05,Fulham,Newcastle,4.0,3.6,2.0
2016-08-05,Oostende,Club Brugge,4.0,3.6,1.85
2016-08-05,Kaiserslautern,Hannover,2.4,3.25,2.9
2016-08-06,Utrecht,PSV Eindhoven,3.6,3.75,1.91
2016-08-06,Dresden,Nurnberg,2.6,3.3,2.63
2016-08-06,Sandhausen,Fortuna Dusseldorf,2.63,3.2,2.7
2016-08-06,Twente,Excelsior,1.67,3.75,5.0
2016-08-06,Birmingham,Cardiff,2.38,3.3,3.3
2016-08-06,Blackburn,Norwich,3.4,3.25,2.38
2016-08-06,Bristol City,Wigan,2.25,3.3,3.6
2016-08-06,Derby,Brighton,2.1,3.4,4.0
2016-08-06,Huddersfield,Brentford,2.2,3.6,3.4
2016-08-06,Ipswich,Barnsley,2.1,3.4,4.0
2016-08-06,Nott'm Forest,Burton,2.05,3.4,4.1
2016-08-06,Reading,Preston,2.25,3.25,3.6
2016-08-06,Rotherham,Wolves,3.0,3.25,2.6
2016-08-06,Den Haag,Go Ahead Eagles,1.7,3.5,5.25
2016-08-06,Waasland-Beveren,Waregem,2.9,3.3,2.4
2016-08-06,Bochum,Union Berlin,2.2,3.3,3.3
2016-08-06,Mouscron,Charleroi,2.63,3.4,2.55
2016-08-06,Eupen,Mechelen,2.3,3.4,3.0
2016-08-06,Willem II,Vitesse,3.2,3.4,2.2
2016-08-06,Standard,St Truiden,1.44,4.33,7.0
2016-08-06,Kilmarnock,Motherwell,2.63,3.3,2.63
2016-08-06,Partick,Inverness C,2.6,3.2,2.75
2016-08-06,Rangers,Hamilton,1.36,5.0,7.5
2016-08-06,Ross County,Dundee,2.25,3.4,3.1
2016-08-07,Sheffield Weds,Aston Villa,2.05,3.3,3.6
2016-08-07,Bielefeld,Karlsruhe,2.7,3.1,2.7
2016-08-07,Lokeren,Westerlo,1.73,3.6,4.75
2016-08-07,Gent,Genk,1.8,3.6,4.33
2016-08-07,Hearts,Celtic,5.0,4.0,1.62
2016-08-07,St Johnstone,Aberdeen,3.6,3.3,2.05
2016-08-07,QPR,Leeds,2.05,3.3,3.6
2016-08-07,Anderlecht,Kortrijk,1.5,4.33,6.0
2016-08-07,Braunschweig,Wurzburger Kickers,2.0,3.4,3.75
2016-08-07,Sparta Rotterdam,Ajax,5.5,4.0,1.57
