date,home_team,away_team,odds_h,odds_d,odds_a
2015-07-24,Duisburg,Kaiserslautern,3.1,3.2,2.3
2015-07-24,St Truiden,Club Brugge,4.33,4.0,1.7
2015-07-25,Waregem,Lokeren,2.38,3.4,2.88
2015-07-25,Oostende,Mechelen,2.5,3.3,2.8
2015-07-25,Genk,Oud-Heverlee Leuven,1.62,3.75,5.5
2015-07-25,St Pauli,Bielefeld,2.25,3.4,3.1
2015-07-25,Kortrijk,Standard,2.6,3.4,2.6
2015-07-25,Frankfurt FSV,RB Leipzig,4.0,3.6,1.85
2015-07-25,Greuther Furth,Karlsruhe,2.6,3.2,2.75
2015-07-26,Braunschweig,Sandhausen,1.8,3.5,4.5
2015-07-26,Union Berlin,Fortuna Dusseldorf,2.25,3.2,3.25
2015-07-26,Anderlecht,Waasland-Beveren,1.2,7.0,11.0
2015-07-26,Charleroi,Mouscron-Peruwelz,1.67,3.75,5.0
2015-07-26,Westerlo,Gent,4.0,3.6,1.85
2015-07-26,Heidenheim,Munich 1860,2.05,3.3,3.6
2015-07-26,Paderborn,Bochum,2.15,3.3,3.4
2015-07-27,Freiburg,Nurnberg,2.38,3.25,3.0
2015-07-31,Kaiserslautern,Braunschweig,1.62,3.75,5.5
2015-07-31,Nurnberg,Heidenheim,2.05,3.4,3.5
2015-07-31,Bielefeld,Frankfurt FSV,1.75,3.5,4.75
2015-07-31,Gent,Genk,1.67,3.6,5.25
2015-08-01,Munich 1860,Freiburg,3.6,3.25,2.1
2015-08-01,Kilmarnock,Dundee,2.5,3.4,2.7
2015-08-01,Inverness C,Motherwell,1.67,3.8,5.0
2015-08-01,Bochum,Duisburg,1.95,3.5,3.75
2015-08-01,Hamilton,Partick,2.63,3.5,2.5
2015-08-01,Celtic,Ross County,1.17,7.0,15.0
2015-08-01,Oostende,Westerlo,1.65,3.6,5.5
2015-08-01,Club Brugge,Mechelen,1.55,4.2,5.5
2015-08-01,Mouscron-Peruwelz,St Truiden,2.63,3.3,2.6
2015-08-01,Waasland-Beveren,Kortrijk,3.2,3.25,2.25
2015-08-02,Hearts,St Johnstone,2.1,3.5,3.3
2015-08-02,Lokeren,Charleroi,2.1,3.4,3.4
2015-08-02,Oud-Heverlee Leuven,Anderlecht,5.25,4.2,1.57
2015-08-02,Standard,Waregem,1.57,4.0,5.75
2015-08-02,Fortuna Dusseldorf,Paderborn,2.2,3.4,3.2
2015-08-02,Karlsruhe,St Pauli,1.8,3.6,4.33
2015-08-02,Sandhausen,Union Berlin,2.3,3.3,3.1
2015-08-02,Dundee United,Aberdeen,3.6,3.4,2.05
2015-08-03,RB Leipzig,Greuther Furth,1.67,3.75,5.0
2015-08-07,Waregem,Genk,2.63,3.3,2.63
2015-08-07,Brighton,Nott'm Forest,2.3,3.4,3.4
2015-08-07,Lille,Paris SG,6.5,3.6,1.57
2015-08-08,St Johnstone,Inverness C,2.4,3.1,3.1
2015-08-08,Birmingham,Reading,2.45,3.4,3.1
2015-08-08,Blackburn,Wolves,2.63,3.4,2.88
2015-08-08,Ross County,Hamilton,2.05,3.4,3.5
2015-08-08,St Truiden,Oostende,2.45,3.25,2.88
2015-08-08,Dundee,Hearts,2.8,3.25,2.5
2015-08-08,Bolton,Derby,3.75,3.5,2.1
2015-08-08,Nice,Monaco,4.0,3.1,2.05
2015-08-08,Troyes,Ajaccio GFCO,2.05,3.2,3.75
2015-08-08,Motherwell,Dundee United,2.55,3.25,2.75
2015-08-08,Brentford,Ipswich,2.05,3.6,3.8
2015-08-08,Nantes,Guingamp,2.2,3.1,3.6
2015-08-08,Charlton,QPR,3.0,3.4,2.5
2015-08-08,Hull,Huddersfield,1.73,3.8,5.5
2015-08-08,Leeds,Burnley,3.0,3.4,2.5
2015-08-08,Rotherham,Milton Keynes Dons,2.88,3.4,2.63
2015-08-08,Sheffield Weds,Bristol City,2.38,3.3,3.3
2015-08-08,Mechelen,Mouscron-Peruwelz,1.44,4.2,7.5
2015-08-08,Montpellier,Angers,1.83,3.4,4.75
2015-08-08,Marseille,Caen,1.57,4.0,6.0
2015-08-08,Bastia,Rennes,2.6,3.1,2.8
2015-08-08,Kortrijk,Lokeren,2.2,3.3,3.25
2015-08-08,Roda,Heracles,2.15,3.5,3.2
2015-08-08,Westerlo,Oud-Heverlee Leuven,2.2,3.3,3.25
2015-08-08,Cardiff,Fulham,2.25,3.5,3.4
2015-08-08,Bournemouth,Aston Villa,2.0,3.6,4.0
2015-08-08,Feyenoord,Utrecht,1.44,4.75,6.0
2015-08-08,Chelsea,Swansea,1.36,5.0,11.0
2015-08-08,Everton,Watford,1.7,3.9,5.5
2015-08-08,Leicester,Sunderland,1.95,3.5,4.33
2015-08-08,Man United,Tottenham,1.65,4.0,6.0
2015-08-08,Norwich,Crystal Palace,2.55,3.3,3.0
2015-08-09,Stoke,Liverpool,3.4,3.4,2.3
2015-08-09,Bordeaux,Reims,1.67,3.75,5.5
2015-08-09,Charleroi,Club Brugge,2.9,3.25,2.4
2015-08-09,Standard,Waasland-Beveren,1.3,5.0,10.0
2015-08-09,Aberdeen,Kilmarnock,1.33,4.75,10.0
2015-08-09,Arsenal,West Ham,1.29,6.0,12.0
2015-08-09,Newcastle,Southampton,2.88,3.3,2.7
2015-08-09,Anderlecht,Gent,1.91,3.4,4.0
2015-08-09,Partick,Celtic,9.0,5.0,1.33
2015-08-09,Lyon,Lorient,1.57,4.0,6.0
2015-08-09,Toulouse,St Etienne,3.1,3.1,2.4
2015-08-09,Preston,Middlesbrough,3.2,3.4,2.4
2015-08-09,Willem II,Vitesse,3.0,3.4,2.3
2015-08-09,AZ Alkmaar,Ajax,3.0,3.5,2.25
2015-08-10,West Brom,Man City,5.75,4.0,1.67
2015-08-11,Heerenveen,Graafschap,1.55,4.33,5.25
2015-08-11,Den Haag,PSV Eindhoven,5.5,4.0,1.57
2015-08-11,St Johnstone,Ross County,1.91,3.5,4.0
2015-08-11,Dundee United,Dundee,2.25,3.25,3.25
2015-08-12,Hearts,Motherwell,1.73,3.5,5.0
2015-08-12,Inverness C,Partick,2.0,3.4,3.75
2015-08-12,Kilmarnock,Celtic,11.0,5.75,1.25
2015-08-12,Zwolle,Cambuur,1.85,3.6,4.0
2015-08-12,Nijmegen,Excelsior,1.75,3.75,4.5
2015-08-12,Groningen,Twente,2.45,3.4,2.75
