date,home_team,away_team,odds_h,odds_d,odds_a
2021-07-23,Schalke 04,Hamburg,2.62,3.5,2.55
2021-07-23,Standard,Genk,2.75,3.5,2.37
2021-07-24,Oostende,Charleroi,2.3,3.5,2.9
2021-07-24,Kortrijk,Seraing,1.75,3.8,4.5
2021-07-24,Oud-Heverlee Leuven,Waregem,1.95,3.75,3.5
2021-07-24,Darmstadt,Regensburg,2.05,3.6,3.4
2021-07-24,Hansa Rostock,Karlsruhe,2.7,3.4,2.5
2021-07-24,Dresden,Ingolstadt,2.3,3.4,2.9
2021-07-24,Heidenheim,Paderborn,2.2,3.5,3.1
2021-07-24,Werder Bremen,Hannover,1.95,3.6,3.6
2021-07-25,St Truiden,Gent,4.75,3.75,1.7
2021-07-25,Anderlecht,St. Gilloise,1.5,4.33,5.5
2021-07-25,Club Brugge,Eupen,1.18,6.5,15.0
2021-07-25,Mechelen,Antwerp,2.7,3.5,2.45
2021-07-25,Nurnberg,Erzgebirge Aue,1.65,3.8,5.0
2021-07-25,Sandhausen,Fortuna Dusseldorf,3.4,3.4,2.15
2021-07-25,St Pauli,Holstein Kiel,2.45,3.5,2.7
2021-07-27,Beerschot VA,Cercle Brugge,2.2,3.6,3.1
2021-07-30,Paderborn,Nurnberg,2.45,3.5,2.75
2021-07-30,Karlsruhe,Darmstadt,1.33,4.5,8.0
2021-07-30,Genk,Oostende,1.53,4.0,6.5
2021-07-31,Fortuna Dusseldorf,Werder Bremen,2.25,3.4,3.0
2021-07-31,Regensburg,Sandhausen,2.2,3.4,3.3
2021-07-31,Ingolstadt,Heidenheim,3.0,3.4,2.25
2021-07-31,Hannover,Hansa Rostock,1.8,3.75,4.33
2021-07-31,Charleroi,St Truiden,1.95,3.4,3.5
2021-07-31,Cercle Brugge,Oud-Heverlee Leuven,2.15,3.4,3.0
2021-07-31,Seraing,Mechelen,3.4,3.5,1.95
2021-07-31,Eupen,Anderlecht,3.25,3.75,2.0
2021-07-31,Rangers,Livingston,1.18,6.5,17.0
2021-07-31,Dundee,St Mirren,2.55,3.2,2.75
2021-07-31,Ross County,St Johnstone,3.8,3.3,2.0
2021-07-31,Hearts,Celtic,4.5,4.0,1.7
2021-08-01,Antwerp,Kortrijk,1.7,3.6,4.2
2021-08-01,Waregem,Standard,2.9,3.5,2.15
2021-08-01,Gent,Beerschot VA,1.36,4.33,7.5
2021-08-01,Hamburg,Dresden,1.61,3.8,5.5
2021-08-01,Holstein Kiel,Schalke 04,2.37,3.5,2.9
2021-08-01,Motherwell,Hibernian,3.3,3.4,2.15
2021-08-01,Aberdeen,Dundee United,1.7,3.5,5.25
2021-08-01,St. Gilloise,Club Brugge,4.33,4.0,1.7
2021-08-01,Erzgebirge Aue,St Pauli,3.6,3.6,2.0
2021-08-06,Sp Lisbon,Vizela,1.28,5.5,11.0
2021-08-06,Club Brugge,Cercle Brugge,1.28,5.75,7.5
2021-08-06,Monaco,Nantes,1.44,4.33,7.0
2021-08-06,Bournemouth,West Brom,2.3,3.25,3.2
2021-08-07,QPR,Millwall,2.05,3.4,3.6
2021-08-07,Stoke,Reading,2.05,3.25,3.8
2021-08-07,Luton,Peterboro,2.1,3.4,3.4
2021-08-07,Kortrijk,Genk,3.2,3.6,2.0
2021-08-07,Derby,Huddersfield,4.5,3.75,1.72
2021-08-07,Beerschot VA,St. Gilloise,4.2,3.75,1.8
2021-08-07,Mechelen,Eupen,1.7,3.75,4.2
2021-08-07,St Truiden,Waregem,2.0,3.6,3.1
2021-08-07,Arouca,Estoril,2.25,3.1,3.4
2021-08-07,Moreirense,Benfica,8.0,4.5,1.4
2021-08-07,Maritimo,Sp Braga,5.0,3.4,1.75
2021-08-07,Sheffield United,Birmingham,1.75,3.5,5.0
2021-08-07,Cardiff,Barnsley,2.2,3.4,3.2
2021-08-07,Preston,Hull,2.25,3.4,3.1
2021-08-07,Blackburn,Swansea,2.1,3.4,3.4
2021-08-07,Lyon,Brest,1.33,5.0,8.5
2021-08-07,Troyes,Paris SG,11.0,6.0,1.25
2021-08-07,Bristol City,Blackpool,2.15,3.4,3.3
2021-08-07,St Mirren,Hearts,2.9,3.2,2.37
2021-08-07,Dundee United,Rangers,12.0,6.5,1.18
2021-08-08,Pacos Ferreira,Famalicao,2.37,3.25,3.0
2021-08-08,Porto,Belenenses,1.22,6.0,11.0
2021-08-08,Tondela,Santa Clara,3.0,3.1,2.45
2021-08-08,Guimaraes,Portimonense,2.0,3.2,4.0
2021-08-08,Montpellier,Marseille,3.2,3.4,2.2
2021-08-08,Metz,Lille,5.25,3.4,1.72
2021-08-08,Strasbourg,Angers,2.0,3.2,4.0
2021-08-08,Oostende,Gent,3.2,3.6,2.0
2021-08-08,Anderlecht,Seraing,1.3,5.25,7.0
2021-08-08,Oud-Heverlee Leuven,Charleroi,2.45,3.4,2.55
2021-08-08,Standard,Antwerp,2.25,3.5,2.9
2021-08-08,Celtic,Dundee,1.18,6.5,11.0
2021-08-08,Rennes,Lens,2.0,3.4,3.75
2021-08-08,Bordeaux,Clermont,2.0,3.4,3.75
2021-08-08,Fulham,Middlesbrough,1.9,3.4,4.2
2021-08-08,Coventry,Nott'm Forest,2.45,3.3,2.8
2021-08-08,St Etienne,Lorient,2.25,3.25,3.2
2021-08-08,Nice,Reims,1.85,3.5,4.2
2021-08-08,St Johnstone,Motherwell,1.95,3.1,3.8
2021-08-08,Livingston,Aberdeen,2.7,3.0,2.6
2021-08-08,Hibernian,Ross County,1.5,4.0,5.75
2021-08-09,Gil Vicente,Boavista,2.1,3.1,3.8
2021-08-13,Brentford,Arsenal,4.0,3.4,1.95
2021-08-13,Valencia,Getafe,2.55,3.0,3.1
2021-08-13,Besiktas,Rizespor,1.45,4.2,5.75
2021-08-13,Charleroi,Antwerp,2.55,3.3,2.55
2021-08-13,Go Ahead Eagles,Heerenveen,2.7,3.4,2.55
2021-08-13,M'gladbach,Bayern Munich,4.33,4.5,1.66
2021-08-13,Estoril,Guimaraes,2.7,3.2,2.45
2021-08-13,Lorient,Monaco,4.0,3.75,1.85
2021-08-13,Schalke 04,Erzgebirge Aue,1.57,3.8,6.5
2021-08-13,St Pauli,Hamburg,3.0,3.6,2.2
2021-08-14,Dresden,Hannover,2.9,3.4,2.4
2021-08-14,Sp Braga,Sp Lisbon,3.2,3.4,2.15
2021-08-14,St. Gilloise,Kortrijk,1.6,4.0,5.25
2021-08-14,Eupen,St Truiden,1.95,3.5,3.75
2021-08-14,Seraing,Oostende,3.5,3.6,2.0
2021-08-14,Genk,Oud-Heverlee Leuven,1.45,4.33,7.0
2021-08-14,Karagumruk,Gaziantep,2.1,3.5,3.0
2021-08-14,Sandhausen,Karlsruhe,3.4,3.4,2.1
2021-08-14,Nurnberg,Fortuna Dusseldorf,2.3,3.5,2.9
2021-08-14,Holstein Kiel,Regensburg,2.0,3.6,3.6
2021-08-14,Wolfsburg,Bochum,1.53,4.5,5.75
2021-08-14,Union Berlin,Leverkusen,2.75,3.4,2.55
2021-08-14,Stuttgart,Greuther Furth,1.83,4.0,4.0
2021-08-14,Benfica,Arouca,1.18,6.5,15.0
2021-08-14,Millwall,Blackburn,2.45,3.2,3.0
2021-08-14,Vizela,Tondela,2.37,3.2,2.8
2021-08-14,Middlesbrough,Bristol City,1.8,3.4,5.0
2021-08-14,Altay,Kayserispor,2.5,3.3,2.55
2021-08-14,Hatayspor,Kasimpasa,2.1,3.6,2.9
2021-08-14,Burnley,Brighton,3.1,3.1,2.45
2021-08-14,Chelsea,Crystal Palace,1.25,5.75,13.0
2021-08-14,Everton,Southampton,1.9,3.5,4.0
2021-08-14,Leicester,Wolves,1.66,3.8,5.25
2021-08-14,Norwich,Liverpool,9.0,5.75,1.3
2021-08-14,Watford,Aston Villa,3.1,3.2,2.37
2021-08-14,Hull,QPR,2.8,3.25,2.6
2021-08-14,Huddersfield,Fulham,4.75,3.3,1.85
2021-08-14,Blackpool,Cardiff,3.1,3.2,2.4
2021-08-14,Birmingham,Stoke,2.7,3.1,2.8
2021-08-14,Barnsley,Coventry,2.0,3.3,3.9
2021-08-14,Peterboro,Derby,2.15,3.3,3.5
2021-08-14,Dortmund,Ein Frankfurt,1.4,5.5,6.5
2021-08-14,Nott'm Forest,Bournemouth,3.5,3.3,2.15
2021-08-14,Man United,Leeds,1.53,4.5,5.75
2021-08-14,West Brom,Luton,1.7,3.6,5.5
2021-08-14,Paris SG,Strasbourg,1.2,7.0,13.0
2021-08-14,Bielefeld,Freiburg,2.8,3.4,2.5
2021-08-14,Cadiz,Levante,2.8,3.25,2.6
2021-08-14,Mallorca,Betis,3.3,3.4,2.2
2021-08-14,Alaves,Real Madrid,7.0,4.75,1.44
2021-08-14,Augsburg,Hoffenheim,3.2,3.75,2.1
2021-08-14,Osasuna,Espanol,2.25,3.2,3.4
2021-08-14,Waalwijk,AZ Alkmaar,7.5,4.5,1.44
2021-08-14,Heracles,PSV Eindhoven,5.5,4.75,1.44
2021-08-14,Reading,Preston,2.2,3.2,3.5
2021-08-14,Ajax,Nijmegen,1.1,9.0,17.0
2021-08-14,For Sittard,Twente,2.62,3.4,2.55
2021-08-14,Swansea,Sheffield United,3.0,3.2,2.45
2021-08-14,Lille,Nice,1.8,3.5,4.75
2021-08-15,Werder Bremen,Paderborn,1.9,3.6,3.75
2021-08-15,Heidenheim,Hansa Rostock,2.0,3.6,3.4
2021-08-15,Marseille,Bordeaux,1.53,4.2,6.0
2021-08-15,Lens,St Etienne,2.0,3.5,3.75
2021-08-15,Reims,Montpellier,2.6,3.3,2.75
2021-08-15,Nantes,Metz,2.3,3.2,3.25
2021-08-15,Clermont,Troyes,2.0,3.4,3.8
2021-08-15,Brest,Rennes,3.1,3.4,2.3
2021-08-15,Mainz,RB Leipzig,8.0,5.5,1.33
2021-08-15,FC Koln,Hertha,2.55,3.4,2.75
2021-08-15,Antalyaspor,Goztep,2.3,3.3,2.8
2021-08-15,Ad. Demirspor,Fenerbahce,4.0,4.0,1.66
2021-08-15,Buyuksehyr,Alanyaspor,2.4,3.3,2.7
2021-08-15,Angers,Lyon,4.5,3.8,1.75
2021-08-15,Celta,Ath Madrid,4.2,3.4,1.9
2021-08-15,Barcelona,Sociedad,1.72,4.0,4.5
2021-08-15,Famalicao,Porto,7.0,4.5,1.36
2021-08-15,Utrecht,Sparta Rotterdam,1.55,4.2,5.5
2021-08-15,Waregem,Club Brugge,6.5,4.5,1.44
2021-08-15,Willem II,Feyenoord,4.2,4.0,1.75
2021-08-15,Portimonense,Gil Vicente,2.3,3.2,3.0
2021-08-15,Darmstadt,Ingolstadt,3.0,3.4,2.37
2021-08-15,Cercle Brugge,Anderlecht,4.0,3.6,1.85
2021-08-15,Santa Clara,Moreirense,2.1,3.2,3.25
2021-08-15,Gent,Mechelen,1.72,4.2,4.0
2021-08-15,Beerschot VA,Standard,3.8,3.5,1.9
2021-08-15,Zwolle,Vitesse,3.6,3.6,1.95
2021-08-15,Cambuur,Groningen,2.4,3.4,2.87
2021-08-15,Sevilla,Vallecano,1.44,4.2,8.0
