date,home_team,away_team,odds_h,odds_d,odds_a
2011-07-15,Greuther Furth,Ein Frankfurt,2.63,3.3,2.63
2011-07-15,Frankfurt FSV,Union Berlin,2.6,3.25,2.7
2011-07-15,Cottbus,Dresden,1.73,3.6,4.75
2011-07-16,St Pauli,Ingolstadt,1.83,3.5,4.33
2011-07-16,Erzgebirge Aue,Aachen,2.3,3.25,3.1
2011-07-17,Hansa Rostock,Paderborn,2.0,3.3,3.75
2011-07-17,Braunschweig,Munich 1860,2.8,3.25,2.5
2011-07-17,Karlsruhe,Duisburg,2.75,3.3,2.5
2011-07-18,Fortuna Dusseldorf,Bochum,2.5,3.2,2.88
2011-07-22,Bochum,Frankfurt FSV,1.53,3.8,6.75
2011-07-22,Duisburg,Cottbus,1.85,3.6,4.0
2011-07-22,Ingolstadt,Erzgebirge Aue,2.0,3.3,3.8
2011-07-23,Aberdeen,St Johnstone,2.1,3.3,3.5
2011-07-23,Rangers,Hearts,1.36,4.6,9.0
2011-07-23,Motherwell,Inverness C,2.1,3.3,3.5
2011-07-23,Union Berlin,Greuther Furth,2.5,3.3,2.8
2011-07-23,Munich 1860,Karlsruhe,1.75,3.75,4.5
2011-07-24,Aachen,Braunschweig,2.1,3.4,3.4
2011-07-24,Dresden,Hansa Rostock,2.2,3.3,3.3
2011-07-24,Paderborn,Fortuna Dusseldorf,2.6,3.3,2.63
2011-07-24,Hibernian,Celtic,8.5,4.33,1.4
2011-07-24,Dundee United,Kilmarnock,1.83,3.5,4.33
2011-07-25,Ein Frankfurt,St Pauli,1.75,3.5,4.75
2011-07-25,Dunfermline,St Mirren,2.3,3.2,3.2
2011-07-29,Oud-Heverlee Leuven,Anderlecht,7.0,4.0,1.5
2011-07-30,Genk,Germinal,1.44,4.33,7.0
2011-07-30,Gent,Cercle Brugge,1.57,3.8,6.0
2011-07-30,Kortrijk,Lierse,1.75,3.6,4.6
2011-07-30,Lokeren,Waregem,2.2,3.3,3.3
2011-07-30,Bergen,Standard,5.0,3.5,1.73
2011-07-30,Inverness C,Hibernian,2.3,3.25,3.1
2011-07-30,Kilmarnock,Motherwell,2.3,3.2,3.1
2011-07-30,St Johnstone,Rangers,6.0,4.0,1.53
2011-07-30,St Mirren,Aberdeen,2.63,3.2,2.7
2011-07-30,Mechelen,St Truiden,1.67,3.8,5.0
