date,home_team,away_team,odds_h,odds_d,odds_a
2017-07-28,Bochum,St Pauli,2.38,3.3,2.9
2017-07-28,Antwerp,Anderlecht,5.75,3.8,1.6
2017-07-29,Ingolstadt,Union Berlin,2.15,3.2,3.5
2017-07-29,Darmstadt,Greuther Furth,2.05,3.25,3.75
2017-07-29,Bielefeld,Regensburg,2.0,3.5,3.6
2017-07-29,Charleroi,Kortrijk,1.62,3.75,5.5
2017-07-29,Eupen,Waregem,2.6,3.4,2.6
2017-07-29,Genk,Waasland-Beveren,1.4,4.75,7.0
2017-07-29,Lokeren,Club Brugge,4.2,3.6,1.83
2017-07-30,Nurnberg,Kaiserslautern,2.2,3.25,3.3
2017-07-30,Holstein Kiel,Sandhausen,2.05,3.25,3.75
2017-07-30,Dresden,Duisburg,2.1,3.3,3.5
2017-07-30,Oostende,Mouscron,1.5,4.33,6.0
2017-07-30,St Truiden,Gent,3.0,3.4,2.3
2017-07-30,Mechelen,Standard,2.6,3.4,2.6
2017-07-31,Fortuna Dusseldorf,Braunschweig,2.4,3.2,3.0
2017-08-04,Sunderland,Derby,2.7,3.25,2.88
2017-08-04,Union Berlin,Holstein Kiel,1.75,3.5,4.75
2017-08-04,Standard,Genk,2.2,3.3,3.25
2017-08-04,Sandhausen,Ingolstadt,3.4,3.0,2.3
2017-08-04,Kaiserslautern,Darmstadt,2.7,3.1,2.7
2017-08-04,Nott'm Forest,Millwall,2.0,3.6,4.0
2017-08-04,Monaco,Toulouse,1.3,5.5,10.0
2017-08-05,Waasland-Beveren,Mechelen,2.45,3.4,2.75
2017-08-05,St Etienne,Nice,2.2,3.2,3.5
2017-08-05,Paris SG,Amiens,1.11,9.0,25.0
2017-08-05,Troyes,Rennes,2.6,3.1,2.9
2017-08-05,Mouscron,Charleroi,3.3,3.25,2.2
2017-08-05,Kortrijk,Lokeren,2.05,3.4,3.5
2017-08-05,Montpellier,Caen,1.91,3.5,4.2
2017-08-05,Duisburg,Bochum,2.45,3.0,3.1
2017-08-05,Celtic,Hearts,1.2,7.0,11.0
2017-08-05,Metz,Guingamp,2.8,3.2,2.63
2017-08-05,Dundee,Ross County,2.5,3.4,2.7
2017-08-05,Hibernian,Partick,1.8,3.6,4.33
2017-08-05,Kilmarnock,St Johnstone,2.6,3.3,2.63
2017-08-05,Aston Villa,Hull,2.1,3.4,4.0
2017-08-05,Bristol City,Barnsley,1.83,3.75,4.75
2017-08-05,Braunschweig,Heidenheim,2.05,3.1,4.0
2017-08-05,Fulham,Norwich,2.05,3.75,3.75
2017-08-05,Burton,Cardiff,3.1,3.3,2.5
2017-08-05,Preston,Sheffield Weds,3.0,3.2,2.63
2017-08-05,QPR,Reading,2.5,3.4,3.0
2017-08-05,Sheffield United,Brentford,2.2,4.0,3.1
2017-08-05,Wolves,Middlesbrough,2.7,3.25,2.88
2017-08-05,Waregem,St Truiden,1.75,3.75,4.33
2017-08-05,Ipswich,Birmingham,2.5,3.4,3.0
2017-08-05,Lyon,Strasbourg,1.36,5.0,8.5
2017-08-06,Club Brugge,Eupen,1.22,5.75,13.0
2017-08-06,Gent,Antwerp,1.44,4.2,7.5
2017-08-06,Anderlecht,Oostende,1.4,4.5,8.0
2017-08-06,Aves,Sp Lisbon,9.0,4.2,1.4
2017-08-06,Lille,Nantes,2.0,3.2,4.1
2017-08-06,Aberdeen,Hamilton,1.3,5.0,10.0
2017-08-06,Motherwell,Rangers,5.25,4.0,1.6
2017-08-06,Bolton,Leeds,3.0,3.4,2.5
2017-08-06,Erzgebirge Aue,Fortuna Dusseldorf,2.6,3.0,2.88
2017-08-06,Angers,Bordeaux,2.5,3.1,3.1
2017-08-06,Regensburg,Nurnberg,3.2,3.1,2.3
2017-08-06,Greuther Furth,Bielefeld,2.25,3.1,3.4
2017-08-06,Marseille,Dijon,1.4,4.75,8.0
2017-08-06,Setubal,Moreirense,2.5,3.0,3.0
2017-08-07,St Pauli,Dresden,1.91,3.4,4.0
2017-08-07,Rio Ave,Belenenses,1.91,3.4,4.0
2017-08-07,Portimonense,Boavista,2.4,2.9,3.25
2017-08-07,Feirense,Tondela,2.2,3.2,3.4
2017-08-08,Maritimo,Pacos Ferreira,2.0,3.2,4.0
2017-08-09,Porto,Estoril,1.18,6.5,15.0
2017-08-09,Benfica,Sp Braga,1.36,4.75,8.5
2017-08-09,Heidenheim,Erzgebirge Aue,1.91,3.25,4.33
2017-08-10,Guimaraes,Chaves,1.65,3.6,5.5
2017-08-11,Sp Lisbon,Setubal,1.2,6.5,13.0
2017-08-11,Buyuksehyr,Bursaspor,1.36,4.75,8.5
2017-08-11,Arsenal,Leicester,1.53,4.5,6.5
2017-08-11,Den Haag,Utrecht,3.6,3.4,2.05
2017-08-11,Rennes,Lyon,3.6,3.5,2.0
2017-08-11,Nice,Troyes,1.53,4.0,7.0
2017-08-11,Waregem,Club Brugge,3.3,3.4,2.15
2017-08-11,Partick,Celtic,11.0,6.25,1.22
2017-08-12,Belenenses,Maritimo,2.4,3.0,3.2
2017-08-12,VVV Venlo,Sparta Rotterdam,2.25,3.3,3.2
2017-08-12,Heracles,Ajax,7.0,4.33,1.44
2017-08-12,Barnsley,Ipswich,2.55,3.3,3.0
2017-08-12,Birmingham,Bristol City,2.55,3.5,2.9
2017-08-12,Brentford,Nott'm Forest,1.85,3.75,4.5
2017-08-12,Cardiff,Aston Villa,2.7,3.2,2.9
2017-08-12,Brighton,Man City,11.0,5.5,1.33
2017-08-12,Hull,Burton,1.67,3.8,6.0
2017-08-12,St Johnstone,Motherwell,1.75,3.5,4.75
2017-08-12,Leeds,Preston,2.05,3.5,4.0
2017-08-12,Middlesbrough,Sheffield United,1.91,3.5,4.75
2017-08-12,Millwall,Bolton,2.1,3.4,4.0
2017-08-12,Nantes,Marseille,3.5,3.4,2.15
2017-08-12,Toulouse,Montpellier,2.2,3.2,3.5
2017-08-12,Reading,Fulham,3.75,3.75,2.05
2017-08-12,Sheffield Weds,QPR,1.83,3.6,5.0
2017-08-12,Akhisar Belediyespor,Sivasspor,2.0,3.4,3.75
2017-08-12,Alanyaspor,Kasimpasa,2.15,3.4,3.3
2017-08-12,Derby,Wolves,2.4,3.25,3.3
2017-08-12,Moreirense,Feirense,2.4,3.0,3.2
2017-08-12,Goztep,Fenerbahce,4.75,3.6,1.73
2017-08-12,Genclerbirligi,Karabukspor,2.0,3.5,3.6
2017-08-12,Chelsea,Burnley,1.25,6.5,15.0
2017-08-12,Crystal Palace,Huddersfield,1.83,3.6,5.0
2017-08-12,Everton,Stoke,1.7,3.8,5.75
2017-08-12,Southampton,Swansea,1.62,4.0,6.5
2017-08-12,Watford,Liverpool,6.0,4.2,1.62
2017-08-12,West Brom,Bournemouth,2.4,3.3,3.3
2017-08-12,Vitesse,NAC Breda,1.53,4.2,5.75
2017-08-12,PSV Eindhoven,AZ Alkmaar,1.4,4.75,7.0
2017-08-12,Hamilton,Dundee,2.38,3.25,3.0
2017-08-12,Kilmarnock,Hearts,3.1,3.4,2.25
2017-08-12,Rangers,Hibernian,1.73,3.75,4.5
2017-08-12,Ross County,Aberdeen,4.75,3.6,1.73
2017-08-12,Oostende,Waasland-Beveren,1.73,3.6,4.75
2017-08-12,Mechelen,Gent,3.1,3.25,2.3
2017-08-12,Lokeren,Mouscron,1.8,3.75,4.2
2017-08-12,Eupen,Kortrijk,2.1,3.5,3.3
2017-08-12,Amiens,Angers,2.9,3.1,2.63
2017-08-12,Bordeaux,Metz,1.44,4.2,8.5
2017-08-12,Caen,St Etienne,3.0,3.1,2.5
2017-08-12,Boavista,Rio Ave,3.0,3.0,2.5
2017-08-13,Charleroi,Anderlecht,4.2,3.5,1.85
2017-08-13,Zwolle,Roda,1.85,3.6,4.0
2017-08-13,Antwerp,Genk,3.3,3.4,2.15
2017-08-13,Yeni Malatyaspor,Osmanlispor,2.88,3.2,2.5
2017-08-13,Norwich,Sunderland,1.85,3.75,4.5
2017-08-13,Willem II,Excelsior,2.05,3.5,3.4
2017-08-13,Newcastle,Tottenham,5.5,4.0,1.7
