date,home_team,away_team,odds_h,odds_d,odds_a
2010-07-30,Standard,Waregem,1.73,3.6,4.75
2010-07-31,Westerlo,Gent,2.9,3.2,2.3
2010-07-31,St Truiden,Lierse,2.1,3.2,3.2
2010-07-31,Mechelen,Lokeren,1.91,3.3,3.8
2010-07-31,Kortrijk,Club Brugge,3.75,3.3,1.91
2010-07-31,Anderlecht,Eupen,1.2,6.5,10.0
2010-08-01,Genk,Germinal,1.91,3.3,3.75
2010-08-01,Cercle Brugge,Charleroi,1.8,3.5,4.0
2010-08-06,Roda,Twente,4.75,3.6,1.73
2010-08-06,Lierse,Standard,3.1,3.3,2.3
2010-08-06,Norwich,Watford,1.83,3.5,4.33
2010-08-07,Club Brugge,St Truiden,1.33,4.75,9.0
2010-08-07,Charleroi,Anderlecht,7.0,3.8,1.5
2010-08-07,Heerenveen,PSV Eindhoven,4.75,3.5,1.75
2010-08-07,Heracles,Willem II,1.57,3.8,6.0
2010-08-07,Nijmegen,VVV Venlo,1.91,3.5,3.9
2010-08-07,Lokeren,Kortrijk,2.15,3.4,3.25
2010-08-07,Waregem,Mechelen,2.0,3.4,3.6
2010-08-07,Graafschap,Excelsior,1.7,3.6,5.0
2010-08-07,Reading,Scunthorpe,1.5,4.0,7.0
2010-08-07,Auxerre,Lorient,1.91,3.3,4.2
2010-08-07,Lens,Nancy,2.1,3.1,3.8
2010-08-07,Lyon,Monaco,1.44,4.0,8.0
2010-08-07,Bristol City,Millwall,1.91,3.4,4.0
2010-08-07,Marseille,Caen,1.25,5.5,12.0
2010-08-07,Paris SG,St Etienne,1.73,3.4,5.25
2010-08-07,Rennes,Lille,2.4,3.1,3.1
2010-08-07,Sochaux,Arles,1.8,3.25,5.0
2010-08-07,Toulouse,Brest,1.62,3.5,6.0
2010-08-07,QPR,Barnsley,1.67,3.6,5.25
2010-08-07,Preston,Doncaster,2.25,3.25,3.2
2010-08-07,Middlesbrough,Ipswich,1.83,3.4,4.5
2010-08-07,Leeds,Derby,2.0,3.3,3.8
2010-08-07,Hull,Swansea,2.25,3.2,3.25
2010-08-07,Crystal Palace,Leicester,2.63,3.25,2.63
2010-08-07,Coventry,Portsmouth,2.25,3.2,3.25
2010-08-07,Burnley,Nott'm Forest,2.25,3.25,3.2
2010-08-07,Nice,Valenciennes,2.1,3.1,3.75
2010-08-07,Eupen,Westerlo,3.1,3.4,2.2
2010-08-08,Cardiff,Sheffield United,2.1,3.25,3.6
2010-08-08,Gent,Genk,2.0,3.4,3.6
2010-08-08,Germinal,Cercle Brugge,1.9,3.4,4.0
2010-08-08,Groningen,Ajax,5.75,3.7,1.62
2010-08-08,Montpellier,Bordeaux,3.2,3.0,2.4
2010-08-08,Feyenoord,Utrecht,1.75,3.6,4.75
2010-08-08,Vitesse,Den Haag,1.91,3.5,3.9
2010-08-08,NAC Breda,AZ Alkmaar,3.9,3.5,1.91
2010-08-13,Sp Braga,Portimonense,1.36,4.5,9.0
2010-08-14,St Etienne,Sochaux,2.0,3.1,4.2
2010-08-14,Nancy,Rennes,2.6,3.0,2.88
2010-08-14,Lorient,Nice,1.95,3.2,4.2
2010-08-14,Brest,Auxerre,3.1,2.9,2.5
2010-08-14,Arles,Lens,3.0,3.0,2.5
2010-08-14,VVV Venlo,Heracles,3.1,3.4,2.25
2010-08-14,AZ Alkmaar,Groningen,1.6,3.8,5.5
2010-08-14,Ajax,Vitesse,1.15,7.0,17.0
2010-08-14,Barnsley,Crystal Palace,2.6,3.2,2.75
2010-08-14,Derby,Cardiff,2.5,3.2,2.88
2010-08-14,Doncaster,Bristol City,1.91,3.4,4.0
2010-08-14,Ipswich,Burnley,2.4,3.2,3.0
2010-08-14,Valenciennes,Marseille,3.75,3.25,2.05
2010-08-14,Leicester,Middlesbrough,2.38,3.25,3.0
2010-08-14,Portsmouth,Reading,2.75,3.2,2.6
2010-08-14,Scunthorpe,Norwich,2.63,3.2,2.7
2010-08-14,Sheffield United,QPR,2.25,3.25,3.2
2010-08-14,Swansea,Preston,1.83,3.4,4.5
2010-08-14,Watford,Coventry,2.25,3.25,3.2
2010-08-14,Pacos Ferreira,Sp Lisbon,4.75,3.4,1.8
2010-08-14,Naval,Porto,9.0,4.5,1.36
2010-08-14,Maritimo,Setubal,1.7,3.5,5.25
2010-08-14,Westerlo,Waregem,2.2,3.25,3.3
2010-08-14,Standard,Lokeren,1.53,3.8,6.5
2010-08-14,Mechelen,Lierse,1.91,3.4,4.0
2010-08-14,Kortrijk,St Truiden,1.91,3.4,4.0
2010-08-14,Gent,Eupen,1.33,5.0,9.0
2010-08-14,Anderlecht,Germinal,1.33,5.0,9.0
2010-08-14,PSV Eindhoven,Graafschap,1.17,7.0,15.0
2010-08-14,Millwall,Hull,2.5,3.2,2.88
2010-08-14,Twente,Heerenveen,1.53,4.0,6.0
2010-08-14,Aberdeen,Hamilton,2.0,3.4,3.75
2010-08-14,Hearts,St Johnstone,1.91,3.4,4.0
2010-08-14,Inverness C,Celtic,8.0,4.5,1.4
2010-08-14,Rangers,Kilmarnock,1.2,6.0,15.0
2010-08-14,St Mirren,Dundee United,3.6,3.2,2.1
2010-08-15,Nott'm Forest,Leeds,1.83,3.4,4.5
2010-08-15,Benfica,Academica,1.18,6.5,17.0
2010-08-15,Rio Ave,Nacional,2.63,3.0,2.88
2010-08-15,Cercle Brugge,Club Brugge,5.0,3.75,1.67
2010-08-15,Genk,Charleroi,1.44,4.33,7.0
2010-08-15,Bordeaux,Toulouse,1.6,3.6,6.25
2010-08-15,Caen,Lyon,4.33,3.25,1.91
2010-08-15,Lille,Paris SG,2.05,3.2,3.75
2010-08-15,Willem II,Nijmegen,2.8,3.25,2.5
2010-08-15,Utrecht,NAC Breda,1.67,3.5,5.5
2010-08-15,Excelsior,Feyenoord,8.0,4.5,1.4
2010-08-15,Den Haag,Roda,2.25,3.3,3.2
2010-08-15,Beira Mar,Leiria,2.5,3.0,3.0
2010-08-15,Motherwell,Hibernian,2.38,3.25,3.0
2010-08-16,Olhanense,Guimaraes,3.0,3.0,2.5
2010-08-17,Monaco,Montpellier,2.25,3.1,3.3
2010-08-20,Academica,Olhanense,1.95,3.3,4.0
2010-08-20,Frankfurt FSV,Bielefeld,2.3,3.3,3.1
2010-08-20,Aachen,Union Berlin,2.1,3.4,3.4
2010-08-20,Excelsior,Nijmegen,3.1,3.4,2.25
2010-08-20,Bayern Munich,Wolfsburg,1.57,4.0,5.5
2010-08-20,Hertha,Oberhausen,1.4,4.5,7.5
2010-08-20,St Truiden,Standard,3.3,3.3,2.15
2010-08-21,Preston,Portsmouth,2.63,3.25,2.63
2010-08-21,QPR,Scunthorpe,1.44,4.0,8.0
2010-08-21,Reading,Nott'm Forest,2.25,3.4,3.1
2010-08-21,Rennes,St Etienne,1.75,3.3,5.25
2010-08-21,Toulouse,Arles,1.62,3.6,6.0
2010-08-21,Setubal,Sp Braga,5.25,3.4,1.7
2010-08-21,Lyon,Brest,1.4,4.5,7.5
2010-08-21,Burnley,Leicester,2.1,3.3,3.5
2010-08-21,Bristol City,Barnsley,2.0,3.3,3.8
2010-08-21,M'gladbach,Nurnberg,1.91,3.4,4.0
2010-08-21,Hoffenheim,Werder Bremen,2.88,3.4,2.38
2010-08-21,Hannover,Ein Frankfurt,2.6,3.25,2.7
2010-08-21,Hamburg,Schalke 04,2.38,3.4,2.88
2010-08-21,Freiburg,St Pauli,2.2,3.3,3.25
2010-08-21,FC Koln,Kaiserslautern,2.1,3.4,3.4
2010-08-21,Nacional,Benfica,6.0,3.5,1.62
2010-08-21,Norwich,Swansea,2.38,3.3,2.9
2010-08-21,Paderborn,Erzgebirge Aue,2.0,3.5,3.6
2010-08-21,Ingolstadt,Augsburg,3.1,3.4,2.25
2010-08-21,Lens,Monaco,2.3,3.0,3.4
2010-08-21,Auxerre,Valenciennes,2.2,3.0,3.6
2010-08-21,Nice,Nancy,2.38,3.0,3.2
2010-08-21,St Johnstone,Aberdeen,2.38,3.3,2.9
2010-08-21,Hamilton,Hearts,2.75,3.3,2.5
2010-08-21,Ajax,Roda,1.2,6.5,13.0
2010-08-21,Groningen,Graafschap,1.44,4.33,7.0
2010-08-21,Heerenveen,NAC Breda,1.57,4.0,5.5
2010-08-21,Vitesse,Twente,5.5,3.75,1.62
2010-08-21,Cardiff,Doncaster,1.83,3.5,4.33
2010-08-21,Coventry,Derby,2.3,3.25,3.1
2010-08-21,Germinal,Westerlo,2.25,3.25,3.2
2010-08-21,Hull,Watford,2.0,3.4,3.7
2010-08-21,Crystal Palace,Ipswich,2.5,3.25,2.8
2010-08-21,Lierse,Kortrijk,2.5,3.3,2.75
2010-08-21,Lokeren,Anderlecht,5.5,3.75,1.62
2010-08-21,Waregem,Cercle Brugge,2.0,3.4,3.6
2010-08-21,Leeds,Millwall,2.25,3.25,3.2
2010-08-21,Marseille,Lorient,1.62,3.4,6.5
2010-08-22,Porto,Beira Mar,1.18,6.5,13.0
2010-08-22,Sp Lisbon,Maritimo,1.55,3.7,6.5
2010-08-22,Eupen,Genk,5.25,3.6,1.67
2010-08-22,Sochaux,Lille,4.0,3.1,2.05
2010-08-22,Paris SG,Bordeaux,2.2,3.1,3.5
2010-08-22,Montpellier,Caen,2.1,3.1,3.75
2010-08-22,Middlesbrough,Sheffield United,2.1,3.3,3.5
2010-08-22,Leiria,Pacos Ferreira,2.2,3.1,3.4
2010-08-22,Portimonense,Naval,2.4,3.2,2.9
2010-08-22,Mainz,Stuttgart,3.1,3.4,2.25
2010-08-22,Osnabruck,Duisburg,2.45,3.4,2.75
2010-08-22,Cottbus,Fortuna Dusseldorf,2.1,3.4,3.0
2010-08-22,VVV Venlo,Den Haag,2.0,3.4,3.7
2010-08-22,Utrecht,Willem II,1.36,4.6,8.5
2010-08-22,PSV Eindhoven,AZ Alkmaar,1.44,4.33,7.0
2010-08-22,Heracles,Feyenoord,2.75,3.3,2.5
