date,home_team,away_team,odds_h,odds_d,odds_a
2008-08-09,Sheffield Weds,Burnley,2.3,3.3,3.1
2008-08-09,Cardiff,Southampton,2.0,3.3,3.75
2008-08-09,Charlton,Swansea,2.1,3.3,3.4
2008-08-09,Coventry,Norwich,2.3,3.25,3.2
2008-08-09,Crystal Palace,Watford,1.91,3.4,4.0
2008-08-09,Derby,Doncaster,1.73,3.5,5.0
2008-08-09,Ipswich,Preston,1.91,3.3,4.2
2008-08-09,Plymouth,Wolves,2.6,3.3,2.62
2008-08-09,QPR,Barnsley,1.62,3.6,6.0
2008-08-09,Valenciennes,St Etienne,2.4,3.1,3.1
2008-08-09,Blackpool,Bristol City,2.5,3.3,2.75
2008-08-09,Kilmarnock,Hibernian,2.4,3.2,2.62
2008-08-09,Falkirk,Rangers,6.5,4.0,1.5
2008-08-09,Aberdeen,Inverness C,1.73,3.4,4.2
2008-08-09,Auxerre,Nantes,2.1,3.1,3.75
2008-08-09,Bordeaux,Caen,1.57,3.6,6.5
2008-08-09,Le Havre,Nice,2.3,3.0,3.4
2008-08-09,Le Mans,Lorient,2.1,3.1,3.8
2008-08-09,Monaco,Paris SG,2.4,3.1,3.1
2008-08-09,Nancy,Lille,2.15,3.1,3.6
2008-08-09,Rennes,Marseille,2.7,3.0,2.8
2008-08-09,Sochaux,Grenoble,1.91,3.2,4.33
2008-08-09,Hearts,Motherwell,2.0,3.25,3.25
2008-08-09,Birmingham,Sheffield United,1.91,3.3,4.2
2008-08-10,Celtic,St Mirren,1.17,6.5,17.0
2008-08-10,Lyon,Toulouse,1.33,4.5,11.0
2008-08-10,Nott'm Forest,Reading,2.75,3.3,2.5
2008-08-11,Hamilton,Dundee United,3.6,3.25,2.1
2008-08-15,Bayern Munich,Hamburg,1.57,3.8,6.0
2008-08-15,Aachen,Wehen,1.73,3.5,5.0
2008-08-15,Mainz,Kaiserslautern ,1.91,3.4,4.2
2008-08-15,St Pauli,Osnabruck,1.91,3.4,4.0
2008-08-16,Bielefeld,Werder Bremen,4.5,3.5,1.8
2008-08-16,Lille,Le Mans,1.8,3.3,4.75
2008-08-16,Schalke 04,Hannover,1.57,3.8,6.0
2008-08-16,Wolfsburg,FC Koln,1.62,3.6,6.0
2008-08-16,Barnsley,Coventry,2.5,3.3,2.75
2008-08-16,Bristol City,Derby,2.1,3.3,3.4
2008-08-16,Burnley,Ipswich,2.2,3.4,3.2
2008-08-16,Norwich,Blackpool,1.91,3.4,4.0
2008-08-16,Nantes,Monaco,2.25,3.0,3.3
2008-08-16,Preston,Crystal Palace,2.4,3.3,2.88
2008-08-16,Reading,Plymouth,1.62,3.6,6.0
2008-08-16,Sheffield United,QPR,2.1,3.3,3.5
2008-08-16,Wolves,Sheffield Weds,1.8,3.4,5.0
2008-08-16,Watford,Charlton,2.3,3.25,3.1
2008-08-16,Doncaster,Cardiff,2.4,3.3,2.88
2008-08-16,Nice,Nancy,2.4,2.9,3.3
2008-08-16,Paris SG,Bordeaux,2.38,2.9,3.3
2008-08-16,St Etienne,Sochaux,1.85,3.25,4.5
2008-08-16,Karlsruhe,Bochum,2.2,3.3,3.25
2008-08-16,Swansea,Nott'm Forest,2.1,3.3,3.5
2008-08-16,Leverkusen,Dortmund,2.05,3.3,3.6
2008-08-16,Waregem,Lokeren,1.95,3.2,3.6
2008-08-16,Tubize,Mouscron,3.2,3.4,2.2
2008-08-16,Roeselare,Kortrijk,2.1,3.2,3.3
2008-08-16,Dender,Standard,5.0,3.5,1.65
2008-08-16,Cottbus,Hoffenheim,2.4,3.3,2.9
2008-08-16,Cercle Brugge,Anderlecht,2.38,3.3,2.75
2008-08-16,Bolton,Stoke,1.83,3.5,4.5
2008-08-16,Everton,Blackburn,2.0,3.3,4.0
2008-08-16,Hull,Fulham,2.6,3.2,2.8
2008-08-16,Middlesbrough,Tottenham,3.2,3.4,2.25
2008-08-16,Sunderland,Liverpool,5.5,3.6,1.67
2008-08-16,West Ham,Wigan,1.91,3.4,4.2
2008-08-16,Toulouse,Le Havre,2.15,3.1,3.6
2008-08-16,Arsenal,West Brom,1.2,6.5,15.0
2008-08-16,Westerlo,Charleroi,2.25,3.25,2.88
2008-08-16,Southampton,Birmingham,3.1,3.3,2.25
2008-08-16,Hibernian,Falkirk,2.1,3.3,3.6
2008-08-16,Inverness C,Hamilton,1.8,3.5,4.5
2008-08-16,Motherwell,Aberdeen,2.1,3.3,3.5
2008-08-16,Rangers,Hearts,1.44,4.2,7.5
2008-08-16,St Mirren,Kilmarnock,2.4,3.3,2.88
2008-08-16,Caen,Valenciennes,2.1,3.0,4.0
2008-08-17,M'gladbach,Stuttgart,2.75,3.3,2.5
2008-08-17,Man United,Newcastle,1.29,5.5,11.0
2008-08-17,Aston Villa,Man City,1.91,3.4,4.33
2008-08-17,Ingolstadt,Greuther Furth,2.55,3.3,2.7
2008-08-17,Genk,Germinal,1.73,3.4,5.0
2008-08-17,Nurnberg,Augsburg,1.55,3.75,6.5
2008-08-17,Freiburg,Munich 1860,1.95,3.4,3.8
2008-08-17,Gent,Bergen,1.44,3.75,7.5
2008-08-17,Ein Frankfurt,Hertha,2.35,3.3,3.0
2008-08-17,Koblenz,Oberhausen,1.95,3.4,3.8
2008-08-17,Ahlen,Frankfurt FSV,2.1,3.3,3.5
2008-08-17,Chelsea,Portsmouth,1.33,5.0,10.0
2008-08-17,Grenoble,Rennes,2.88,2.9,2.7
2008-08-17,Dundee United,Celtic,5.75,4.0,1.57
2008-08-17,Lorient,Lyon,4.75,3.4,1.8
2008-08-17,Marseille,Auxerre,1.57,3.6,6.5
2008-08-18,Duisburg,Hansa Rostock,2.0,3.3,3.75
2008-08-22,Frankfurt FSV,Koblenz,2.15,3.3,3.3
2008-08-22,Hannover,Cottbus,1.62,3.6,6.0
2008-08-22,Osnabruck,Freiburg,2.88,3.3,2.4
2008-08-22,Greuther Furth,St Pauli,1.75,3.5,4.75
2008-08-23,Standard,Westerlo,1.33,4.2,10.0
2008-08-23,Blackburn,Hull,1.57,3.75,7.0
2008-08-23,Lokeren,Tubize,1.65,3.6,4.75
2008-08-23,West Brom,Everton,2.88,3.25,2.5
2008-08-23,Tottenham,Sunderland,1.5,4.0,7.0
2008-08-23,Stoke,Aston Villa,5.0,3.6,1.73
2008-08-23,Newcastle,Bolton,1.8,3.5,4.75
2008-08-23,Liverpool,Middlesbrough,1.36,4.5,10.0
2008-08-23,Fulham,Arsenal,6.5,3.75,1.57
2008-08-23,Mouscron,Mechelen,2.05,3.3,3.4
2008-08-23,Le Mans,St Etienne,2.45,3.0,3.1
2008-08-23,Kortrijk,Cercle Brugge,3.0,3.25,2.2
2008-08-23,Monaco,Caen,1.75,3.25,5.25
2008-08-23,Sochaux,Paris SG,2.7,2.9,2.8
2008-08-23,Celtic,Falkirk,1.2,6.5,13.0
2008-08-23,Hearts,St Mirren,1.73,3.5,5.0
2008-08-23,Inverness C,Hibernian,2.4,3.3,2.88
2008-08-23,Kilmarnock,Hamilton,2.1,3.3,3.5
2008-08-23,Motherwell,Dundee United,2.4,3.3,2.88
2008-08-23,Lyon,Grenoble,1.29,4.75,13.0
2008-08-23,Germinal,Dender,1.53,3.75,5.5
2008-08-23,Le Havre,Marseille,3.75,3.0,2.15
2008-08-23,Nancy,Toulouse,1.85,3.1,5.0
2008-08-23,Aberdeen,Rangers,5.0,3.5,1.73
2008-08-23,Dortmund,Bayern Munich,3.4,3.25,2.15
2008-08-23,Hamburg,Karlsruhe,1.4,4.33,8.5
2008-08-23,Valenciennes,Lorient,2.25,2.9,3.6
2008-08-23,Sheffield Weds,Preston,2.5,3.3,2.75
2008-08-23,QPR,Doncaster,1.83,3.4,4.5
2008-08-23,Plymouth,Swansea,2.4,3.3,2.88
2008-08-23,Nott'm Forest,Watford,2.4,3.3,2.88
2008-08-23,Ipswich,Wolves,2.3,3.25,3.1
2008-08-23,Derby,Southampton,1.83,3.4,4.5
2008-08-23,Crystal Palace,Burnley,1.83,3.4,4.5
2008-08-23,Coventry,Bristol City,2.1,3.3,3.5
2008-08-23,Charlton,Reading,2.62,3.3,2.62
2008-08-23,Cardiff,Norwich,1.91,3.4,4.0
2008-08-23,Sivasspor,Kayserispor,2.05,3.1,3.6
2008-08-23,Hacettepespor,Bursaspor,2.3,3.2,2.88
2008-08-23,Anderlecht,Gent,1.65,3.4,5.0
2008-08-23,Gaziantepspor,Fenerbahce,4.5,3.5,1.7
2008-08-23,Buyuksehyr,Eskisehirspor,1.95,3.3,3.6
2008-08-23,Blackpool,Sheffield United,3.1,3.4,2.25
2008-08-23,Birmingham,Barnsley,1.44,4.2,7.5
2008-08-23,Werder Bremen,Schalke 04,2.0,3.3,3.8
2008-08-23,Stuttgart,Leverkusen,1.91,3.4,4.0
2008-08-23,Hoffenheim,M'gladbach,2.05,3.3,3.6
2008-08-23,Hertha,Bielefeld,1.67,3.6,5.5
2008-08-23,Galatasaray,Denizlispor,1.36,4.33,7.5
2008-08-23,Charleroi,Roeselare,1.5,3.6,6.5
2008-08-24,Wehen,Duisburg,3.0,3.3,2.3
2008-08-24,Oberhausen,Ingolstadt,2.38,3.3,2.9
2008-08-24,Munich 1860,Mainz,2.38,3.3,2.9
2008-08-24,Hansa Rostock,Aachen,1.95,3.3,4.0
2008-08-24,Augsburg,Ahlen,1.95,3.3,4.0
2008-08-24,Bergen,Genk,3.6,3.3,1.95
2008-08-24,Rennes,Lille,2.1,3.0,4.0
2008-08-24,Bordeaux,Nantes,1.5,3.75,7.5
2008-08-24,Man City,West Ham,2.3,3.25,3.2
2008-08-24,Wigan,Chelsea,8.5,4.5,1.4
2008-08-24,Bochum,Wolfsburg,2.88,3.3,2.4
2008-08-24,Genclerbirligi,Kocaelispor,1.67,3.4,4.75
2008-08-24,FC Koln,Ein Frankfurt,2.25,3.3,3.1
2008-08-24,Konyaspor,Ankaragucu,2.15,3.25,3.1
2008-08-24,Auxerre,Nice,2.15,3.0,3.75
2008-08-24,Antalyaspor,Besiktas,5.5,3.5,1.6
2008-08-24,Trabzonspor,Ankaraspor,1.6,3.5,5.5
2008-08-25,Portsmouth,Man United,4.8,3.4,1.8
2008-08-25,Kaiserslautern,Nurnberg,2.62,3.3,2.62
2008-08-29,Vitesse,Groningen,2.2,3.3,3.0
2008-08-29,Mainz,Osnabruck,1.44,4.2,7.5
2008-08-29,Ankaragucu,Trabzonspor,2.9,3.25,2.3
2008-08-29,Duisburg,Augsburg,1.67,3.6,5.5
2008-08-29,Karlsruhe,FC Koln,2.1,3.3,3.5
2008-08-29,Tubize,Club Brugge,7.0,3.75,1.53
2008-08-29,Ingolstadt,Kaiserslautern ,2.75,3.3,2.5
2008-08-30,Barnsley,Derby,2.4,3.4,2.8
2008-08-30,Swansea,Sheffield Weds,1.91,3.4,4.0
2008-08-30,Reading,Crystal Palace,1.8,3.5,4.5
2008-08-30,Burnley,Plymouth,1.91,3.4,4.0
2008-08-30,Doncaster,Coventry,2.3,3.4,3.0
2008-08-30,Norwich,Birmingham,3.25,3.3,2.2
2008-08-30,Preston,Charlton,2.2,3.3,3.25
2008-08-30,Udinese,Palermo,2.1,3.1,3.8
2008-08-30,Sheffield United,Cardiff,1.83,3.4,4.33
2008-08-30,Southampton,Blackpool,1.83,3.4,4.5
2008-08-30,Bristol City,QPR,2.25,3.4,3.1
2008-08-30,Sampdoria,Inter,4.33,3.2,1.91
2008-08-30,Wolfsburg,Ein Frankfurt,1.67,3.6,5.25
2008-08-30,Fenerbahce,Buyuksehyr,1.29,4.75,9.0
2008-08-30,Ankaraspor,Gaziantepspor,2.3,3.25,2.9
2008-08-30,Schalke 04,Bochum,1.4,4.33,8.5
2008-08-30,Willem II,Ajax,5.5,3.6,1.57
2008-08-30,Utrecht,PSV Eindhoven,4.33,3.25,1.8
